# Created by: riboviz
# Date: 2026-03-12 11:36:31.699651
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL060W	168	68	114	2.10861782458931e-09	0.00291409429860161	5.16376085425325e-10
YAL059W	70	23	40	2.06473046310181e-06	0.00635130077504379	2.60835953318058e-07
YAL058W	37	20	45	0.0158994440064264	0.794118391185691	0.174194426604735
YAL056W	49	11	30	7.16611459938877e-07	0.0174421473489229	4.78527287851948e-07
YAL053W	205	88	191	6.35651860120878e-11	0.208755641432089	1.52459852769864e-07
YAL051W	76	22	46	7.9616510021604e-08	0.0041664160143039	1.26002619388399e-08
YAL049C	79	46	90	0.00237391027736019	0.649967101776342	0.0423330131710015
YAL048C	29	14	27	0.0112579655148232	0.398252385722788	0.0362756364363099
YAL046C	50	23	37	0.000582293671992815	0.0671280716954048	0.000396566395929841
YAL044W-A	53	24	27	0.00334118626166143	0.00546833034471462	0.000100700769329978
YAL044C	572	268	460	2.79633958023541e-13	0.0236735974886507	3.99990984219424e-11
YAL043C	106	43	68	2.20049335652721e-07	0.00294747948760533	1.70972387407006e-08
YAL042W	447	232	319	1.65651382856542e-13	0.000631758418901983	5.50133632058542e-14
YAL041W	100	55	91	0.000695735843274469	0.289866393580167	0.00400338347689367
YAL040C	24	16	26	0.109150648694463	0.615706792012276	0.253844273963123
YAL039C	46	25	44	0.00839472980537919	0.41131872403929	0.032200360775137
YAL038W	34632	16300	25454	1.70385574859698e-65	3.11019612679704e-14	7.87877086154774e-68
YAL036C	446	214	332	3.37773237075727e-14	0.000422681719204123	9.4431712481432e-15
YAL035W	1690	810	1355	4.5782242731841e-43	3.79297824210206e-06	3.87484471084762e-38
YAL033W	52	29	42	0.0100874277529621	0.178052890497382	0.0108610779733845
YAL031C	21	15	30	0.160844989678911	0.901722445699102	0.58411867454466
YAL030W	52	32	43	0.0395754261261831	0.289258580614269	0.0511025986176611
YAL029C	138	63	104	9.85777633718212e-08	0.0200363701379612	1.44826220053213e-07
YAL026C	194	96	169	1.69782878713826e-08	0.122970927193221	1.15937493851268e-06
YAL025C	204	95	117	9.09825479971311e-08	4.35638861124509e-05	5.11530311494484e-11
YAL024C	53	32	51	0.0106229926893113	0.426514809545647	0.0392145290545062
YAL023C	603	316	475	1.45528420136999e-17	0.000119634630463989	5.05587617983951e-18
YAL022C	111	54	81	6.93267166227985e-05	0.0329615664770001	3.23740852307026e-05
YAL021C	172	93	146	1.42225327668121e-06	0.087340134315373	9.76233054837895e-06
YAL020C	32	11	22	0.00147286007270179	0.0983766904755524	0.0012838513323403
YAL019W	169	74	150	1.64788827001382e-09	0.138136574646872	3.65026978067354e-07
YAL017W	95	42	61	5.01774688091104e-06	0.00481392593256272	3.64429842430451e-07
YAL016W	342	169	261	4.23755789540171e-12	0.00166048133399381	2.49167470551829e-12
YAL014C	28	19	24	0.108270670605567	0.293970314513319	0.1043853159486
YAL013W	49	20	48	0.000250072420866127	0.339255991281392	0.00294086005409141
YAL012W	1882	828	1341	6.61555708807769e-38	1.12185983950323e-09	1.31239443320785e-40
YAL008W	58	18	38	1.001851347851e-05	0.0376419277536546	9.63463326334521e-06
YAL007C	170	104	147	0.000133507186203457	0.16285254911068	0.000532803131620302
YAL005C	17550	7959	12305	3.22172905277874e-76	2.2009677432604e-21	1.06137640068371e-86
YAL003W	4158	1930	3038	3.50609911790833e-27	5.12843330187029e-07	1.14862782366899e-28
YAL002W	18	27	27	0.916117180233792	0.906484820248416	0.971827897023488
YAL001C	64	28	54	0.000188808408040872	0.181969150989146	0.00079997620667237
YAR002W	154	58	118	3.58844544954134e-10	0.0159138444154602	2.11239355439509e-09
YAR002C-A	283	155	205	2.22902032281123e-08	0.000618048010100271	3.79416298602379e-10
YAR003W	40	16	28	0.00163105431916885	0.0662813745546259	0.000833922677626727
YAR007C	224	85	175	6.52684861287469e-14	0.0150417668823109	6.42700878529088e-12
YAR014C	128	48	104	4.43571807827839e-08	0.0707597759283521	7.12495377815209e-07
YAR015W	244	116	180	3.16144538541522e-10	0.00199630345377832	7.41907327098522e-11
YAR018C	30	17	29	0.0241029023826927	0.449253516426153	0.0684923117679966
YAR027W	57	23	31	0.000619072890516153	0.0122087152954609	5.3256194233471e-05
YAR042W	93	49	55	9.67947566913969e-05	0.00156346508880878	1.15035489572461e-06
YAR071W	964	550	761	5.65288242067934e-16	0.000651128141807189	1.0201167615816e-15
YBL106C	31	24	31	0.173944026116377	0.501717476738051	0.254398355859873
YBL105C	131	60	111	2.45009443439601e-07	0.119373021278712	5.66919973716415e-06
YBL104C	66	33	38	0.00106166037215459	0.00515962653109682	3.35675845845863e-05
YBL103C	30	19	31	0.0512027663649778	0.552686584710628	0.144285622777114
YBL102W	124	55	86	2.25598255143842e-05	0.0311836379900104	1.31987434415366e-05
YBL101C	83	46	70	0.000892560194356922	0.151897437982145	0.00166225431263277
YBL099W	877	421	689	1.53319989052287e-22	0.00137404212499075	1.4139945968492e-19
YBL098W	78	54	82	0.0167718620639426	0.573199965287507	0.0849562083904918
YBL097W	52	23	34	0.000348382093782588	0.0222314431084552	6.70606150369344e-05
YBL093C	62	25	39	5.44351249066801e-05	0.022964096045296	1.67791174353508e-05
YBL092W	4643	2114	3248	9.789001968333e-17	6.7253771879584e-05	8.29573311130002e-18
YBL091C	300	140	224	2.19822245959358e-13	0.00132634819460882	2.13819466117089e-13
YBL090W	38	18	34	0.00448979149696486	0.318874053271306	0.0146105378465022
YBL089W	31	12	29	0.00280431051592999	0.449871192203635	0.0202972019849416
YBL087C	2431	1148	1983	6.65712692924134e-15	0.000375134746808624	2.43933416742257e-15
YBL086C	43	17	20	0.000414642784692289	0.00189921872027483	5.15872077206613e-06
YBL085W	117	45	83	1.81985437567768e-08	0.00778004682589373	1.04168346569379e-08
YBL084C	28	12	28	0.00483763794451467	0.502011723725313	0.0339343419387457
YBL082C	83	37	54	2.83179125669878e-05	0.01083122142845	3.89669603382273e-06
YBL081W	52	21	39	0.00046887050254296	0.121557087755962	0.000775751707372259
YBL079W	267	139	249	5.62841839506967e-10	0.239321747322214	7.63767836752002e-07
YBL076C	2926	1369	2339	5.73169055761198e-68	1.59851479887783e-09	2.67478759894739e-61
YBL072C	7525	3031	4952	1.96228696709981e-30	1.45984962694705e-11	1.24392340604315e-37
YBL071W-A	45	31	38	0.0709879708595036	0.264822608452171	0.0690615003347188
YBL069W	100	37	68	1.07045822356648e-07	0.0110318962176242	6.2413065135778e-08
