# Created by: riboviz
# Date: 2025-11-20 20:15:32.278602
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
Pos	Counts	End
-24	483	5'
-23	473	5'
-22	544	5'
-21	738	5'
-20	1464	5'
-19	3162	5'
-18	5877	5'
-17	8928	5'
-16	10618	5'
-15	10735	5'
-14	10939	5'
-13	10684	5'
-12	19434	5'
-11	16597	5'
-10	8864	5'
-9	7977	5'
-8	7417	5'
-7	6140	5'
-6	8095	5'
-5	7273	5'
-4	5359	5'
-3	6434	5'
-2	5658	5'
-1	3946	5'
0	5338	5'
1	4981	5'
2	4064	5'
3	7070	5'
4	4070	5'
5	3465	5'
6	5689	5'
7	5354	5'
8	3218	5'
9	5285	5'
10	5786	5'
11	4203	5'
12	6201	5'
13	6170	5'
14	3917	5'
15	6554	5'
16	6625	5'
17	4366	5'
18	7132	5'
19	6862	5'
20	4303	5'
21	7000	5'
22	6774	5'
23	4552	5'
24	7056	5'
25	6945	5'
26	4705	5'
27	8025	5'
28	7699	5'
29	5012	5'
30	7718	5'
31	7546	5'
32	4944	5'
33	8061	5'
34	7703	5'
35	5061	5'
36	8435	5'
37	7808	5'
38	5280	5'
39	8512	5'
40	8202	5'
41	5490	5'
42	8520	5'
43	8094	5'
44	5507	5'
45	8605	5'
46	8171	5'
47	5770	5'
48	9369	5'
49	8745	5'
50	5592	5'
-49	7617	3'
-48	12619	3'
-47	11912	3'
-46	7857	3'
-45	12040	3'
-44	11451	3'
-43	7324	3'
-42	11907	3'
-41	11182	3'
-40	7307	3'
-39	12156	3'
-38	11339	3'
-37	7831	3'
-36	12421	3'
-35	11853	3'
-34	8473	3'
-33	14230	3'
-32	12946	3'
-31	8424	3'
-30	13195	3'
-29	12169	3'
-28	8497	3'
-27	13559	3'
-26	13156	3'
-25	9180	3'
-24	14949	3'
-23	14139	3'
-22	10374	3'
-21	15999	3'
-20	14867	3'
-19	10467	3'
-18	19311	3'
-17	16510	3'
-16	8575	3'
-15	7817	3'
-14	7041	3'
-13	4770	3'
-12	4842	3'
-11	4520	3'
-10	3035	3'
-9	2344	3'
-8	1751	3'
-7	1483	3'
-6	1208	3'
-5	967	3'
-4	784	3'
-3	679	3'
-2	708	3'
-1	609	3'
0	396	3'
1	431	3'
2	506	3'
3	506	3'
4	397	3'
5	363	3'
6	351	3'
7	365	3'
8	326	3'
9	310	3'
10	311	3'
11	331	3'
12	316	3'
13	332	3'
14	265	3'
15	254	3'
16	262	3'
17	272	3'
18	270	3'
19	320	3'
20	272	3'
21	297	3'
22	336	3'
23	349	3'
24	308	3'
25	312	3'
