# Created by: riboviz
# Date: 2025-11-20 21:52:15.770708
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ORF	readcount	rpb	tpm
Q0045	144	0.0871670702179177	9.58608132562499
Q0050	200	0.0783699059561129	8.61862501629032
Q0055	223	0.085375191424196	9.38902186498996
Q0060	81	0.0625482625482626	6.87866105933361
Q0065	134	0.0779976717112922	8.57768905579385
Q0070	147	0.0757731958762887	8.33305531729694
Q0075	87	0.0782374100719424	8.6040539596081
Q0080	49	0.252577319587629	27.7768510576565
Q0085	136	0.164449818621524	18.0851476520793
Q0105	121	0.100414937759336	11.0429977428644
Q0110	118	0.089461713419257	9.83843162587415
Q0115	165	0.103060587133042	11.3339494748892
Q0120	187	0.095213849287169	10.4710150325207
Q0130	86	0.309352517985612	34.0206271506343
Q0140	191	0.153536977491961	16.8850226243586
Q0160	0	0	0
Q0250	118	0.146948941469489	16.1605122223263
Q0255	166	0.113233287858117	12.4526785569615
Q0275	154	0.179696616102684	19.7618937012965
YAL001C	572	0.162039660056657	17.8200937050704
YAL002W	388	0.100206611570248	11.0200873503748
YAL003W	15789	23.6362275449102	2599.36233843858
YAL005C	65670	33.2338056680162	3654.84308577958
YAL007C	2047	2.94532374100719	323.908017569063
YAL008W	398	0.618012422360248	67.965085050823
YAL009W	121	0.146311970979444	16.0904622492764
YAL010C	241	0.157619359058208	17.3339770471519
YAL011W	244	0.126753246753247	13.9395178549189
YAL012W	6287	5.10308441558442	561.204846016107
YAL013W	183	0.144664031620553	15.9092323344183
YAL014C	148	0.18159509202454	19.9706760377472
YAL015C	165	0.132317562149158	14.5514459577367
YAL016W	2892	1.47928388746803	162.682256194959
YAL017W	876	0.212724623603691	23.3941044104151
YAL018C	2	0.00195121951219512	0.214582741869004
YAL019W	942	0.273598605866976	30.0886387469673
YAL020C	65	0.0619637750238322	6.81438282984861
