# Created by: riboviz
# Date: 2025-10-03 19:59:33.195185
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Pos	Counts	End
-24	393	5'
-23	402	5'
-22	468	5'
-21	689	5'
-20	1593	5'
-19	3364	5'
-18	6017	5'
-17	8796	5'
-16	10233	5'
-15	10041	5'
-14	10063	5'
-13	9789	5'
-12	17072	5'
-11	14313	5'
-10	7545	5'
-9	7007	5'
-8	6671	5'
-7	5466	5'
-6	7044	5'
-5	6390	5'
-4	4896	5'
-3	5709	5'
-2	5077	5'
-1	3683	5'
0	4801	5'
1	4637	5'
2	3794	5'
3	6667	5'
4	3635	5'
5	3150	5'
6	5104	5'
7	4835	5'
8	2892	5'
9	4924	5'
10	5430	5'
11	3956	5'
12	5821	5'
13	5398	5'
14	3722	5'
15	5942	5'
16	6084	5'
17	4052	5'
18	6626	5'
19	6188	5'
20	3969	5'
21	6378	5'
22	6209	5'
23	4148	5'
24	6500	5'
25	6296	5'
26	4335	5'
27	7111	5'
28	6852	5'
29	4550	5'
30	7066	5'
31	6645	5'
32	4395	5'
33	7147	5'
34	6954	5'
35	4627	5'
36	7248	5'
37	6931	5'
38	4763	5'
39	7595	5'
40	7163	5'
41	4866	5'
42	7618	5'
43	7024	5'
44	4933	5'
45	7723	5'
46	7334	5'
47	5213	5'
48	8308	5'
49	7762	5'
50	5053	5'
-49	6730	3'
-48	11019	3'
-47	10282	3'
-46	6959	3'
-45	10505	3'
-44	9793	3'
-43	6564	3'
-42	10411	3'
-41	9640	3'
-40	6667	3'
-39	10416	3'
-38	9888	3'
-37	6680	3'
-36	10821	3'
-35	10320	3'
-34	7454	3'
-33	12230	3'
-32	11171	3'
-31	7344	3'
-30	11635	3'
-29	10516	3'
-28	7393	3'
-27	11760	3'
-26	11315	3'
-25	7979	3'
-24	12776	3'
-23	12085	3'
-22	8616	3'
-21	13497	3'
-20	12466	3'
-19	8704	3'
-18	16318	3'
-17	13762	3'
-16	6890	3'
-15	6263	3'
-14	5486	3'
-13	3792	3'
-12	3710	3'
-11	3427	3'
-10	2418	3'
-9	1722	3'
-8	1351	3'
-7	1236	3'
-6	916	3'
-5	722	3'
-4	598	3'
-3	532	3'
-2	530	3'
-1	453	3'
0	315	3'
1	335	3'
2	387	3'
3	387	3'
4	314	3'
5	278	3'
6	301	3'
7	278	3'
8	290	3'
9	234	3'
10	261	3'
11	260	3'
12	254	3'
13	233	3'
14	218	3'
15	186	3'
16	209	3'
17	218	3'
18	191	3'
19	195	3'
20	240	3'
21	213	3'
22	222	3'
23	269	3'
24	255	3'
25	208	3'
