# Created by: riboviz
# Date: 2025-10-03 21:06:15.381965
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL061W	101	135	55	0.989653799626922	0.000684990116736836	0.265181324475623
YAL060W	232	283	135	0.980547010912002	3.6186062367154e-06	0.0434303199072126
YAL059W	54	63	35	0.804787311258907	0.0337898577225575	0.246623646268384
YAL058W	60	69	56	0.831334801549557	0.437467698151862	0.714691338607488
YAL056W	56	81	44	0.985932246605187	0.112967139042049	0.756829988911012
YAL053W	265	396	190	0.999999654047021	0.000473474662232985	0.879448565709997
YAL051W	125	163	83	0.992987730217185	0.00267398811615789	0.408115547529833
YAL049C	114	141	79	0.944831036918903	0.00865988406822124	0.289862535561545
YAL048C	39	63	29	0.987420780797512	0.115104378357763	0.768764141117011
YAL047C	49	64	25	0.927820893053568	0.00335200704159941	0.188103285724949
YAL046C	41	38	18	0.292889813731857	0.00441316800864425	0.012641444011247
YAL044W-A	34	54	28	0.984515010575916	0.249317747265748	0.85247277096041
YAL044C	395	570	308	0.999989593716857	0.0065095793183777	0.894991814051065
YAL043C	138	163	95	0.907679937827537	0.00254866387855482	0.148606758847176
YAL042W	331	486	247	0.999997782602962	0.000520884932920344	0.823021644046346
YAL041W	153	206	99	0.997060689223786	0.000757421985291479	0.383954856659575
YAL040C	43	71	33	0.992638801047907	0.13802532077266	0.830091081213904
YAL039C	38	52	38	0.932481352897713	0.461182571472614	0.838394503086864
YAL038W	16880	23124	13536	1	7.12712965131632e-11	1
YAL036C	237	371	177	0.999999218332237	0.0192441014144447	0.973367635057558
YAL035W	510	707	337	0.999999750498247	1.4409646860207e-08	0.356084431585691
YAL034W-A	27	31	15	0.710244994281369	0.0261881603022553	0.163543434414594
YAL033W	42	59	37	0.956337922813364	0.283186960459049	0.789149821262932
YAL032C	26	42	20	0.979528412597356	0.195001919890733	0.798862237633306
YAL031C	68	65	48	0.45803599724695	0.0585111840407299	0.118437737054757
YAL030W	42	85	27	0.999504879420409	0.0488253604089427	0.876463246831531
YAL029C	233	288	153	0.989263717793782	5.19526551707092e-05	0.131689097834437
YAL027W	23	43	21	0.993818890103533	0.393198738975267	0.942636886922756
YAL026C	319	415	191	0.999714683077913	2.11763335364615e-07	0.127045596129232
YAL025C	123	138	80	0.621749152408358	0.00319732796505333	0.0437347701722514
YAL024C	110	132	62	0.931779651394441	0.000146590617952691	0.0658279269457973
YAL023C	889	1203	701	0.99999999907284	0.000393622554966533	0.969661402885609
YAL022C	118	176	86	0.999263031780673	0.00810046870357371	0.708256141984002
YAL021C	246	299	169	0.98409782912401	0.000197569949107516	0.161714089757056
YAL019W	203	234	135	0.905920822208126	9.36356492094073e-05	0.0435516781206537
YAL017W	163	220	119	0.994484054549293	0.00375844480008934	0.463001233076496
YAL016W	543	768	393	0.999999990043312	3.55409334138295e-06	0.786287736053852
YAL015C	19	32	20	0.957776391876963	0.575670856144972	0.91229310976408
YAL014C	24	29	22	0.764390444424638	0.384898894080917	0.618880131517803
YAL013W	39	43	29	0.659175455987119	0.131012185798496	0.307468224325851
YAL012W	1216	1770	857	0.999999999982443	1.54763369803568e-06	0.917003210491748
YAL011W	33	41	19	0.799076662415913	0.0304854080174542	0.232046523185498
YAL010C	45	58	41	0.904590151533806	0.347871532170358	0.741661718734109
YAL009W	27	36	17	0.874265929773915	0.067273971856311	0.402370838590874
YAL008W	51	110	37	0.999989554037378	0.103170532908717	0.982796670970913
YAL007C	378	495	291	0.997718271926153	0.00311707739161759	0.528504095150642
YAL005C	12591	17552	10112	1	1.49351894815978e-11	1
YAL003W	3065	4272	2553	0.999999999948023	0.00170729233904563	0.993763442204009
YAL002W	58	91	40	0.99468194956886	0.0359629265103907	0.703244947583728
YAL001C	118	142	66	0.927036851397176	2.63333596693671e-05	0.0335519002509766
YAR002W	182	232	135	0.99155202646049	0.00401987615378414	0.426669410109825
YAR002C-A	482	714	376	0.999999961963459	0.00528984381028201	0.976923102776626
YAR003W	37	47	37	0.870033009999729	0.50416309632734	0.789292325063014
YAR007C	272	382	234	0.999983906071075	0.0446983104045888	0.958951616295069
YAR008W	34	47	23	0.923344293935646	0.0719040207153131	0.49045930953921
YAR014C	109	118	59	0.759093876458587	0.000154746304070497	0.0200208301898055
YAR015W	408	525	296	0.999811339575626	0.000167037769928627	0.491008617352039
YAR018C	37	67	42	0.999484080673358	0.707418740990706	0.996600091288546
YAR019C	55	74	32	0.952827229116389	0.00686140614603048	0.287843050698824
YAR027W	118	153	93	0.990389801594589	0.0703247059845542	0.730281219337732
YAR028W	42	68	33	0.992422830698086	0.207007806164241	0.872800664223328
YAR031W	53	70	34	0.947641138453708	0.0157515287804009	0.354374740338978
YAR033W	29	41	32	0.917796081999686	0.608701981419536	0.880657036395834
YAR042W	180	252	121	0.999740355578036	0.00073151668558961	0.580874866493954
YAR066W	30	45	24	0.946071732111649	0.204019327238732	0.70950317575967
YAR071W	773	1215	570	1	4.63465384626678e-06	0.994631343022311
YBL107C	42	55	33	0.841423211920223	0.207556561703378	0.552149726836749
YBL106C	78	78	47	0.500471840167948	0.00316458634905879	0.0268206441423142
YBL105C	174	223	126	0.991387977584807	0.00353131448668017	0.412698855672666
YBL104C	109	129	75	0.925053072290661	0.00847011601049044	0.251299814277492
YBL103C	62	82	38	0.951912388511964	0.00707597277690534	0.288285498303966
YBL102W	138	203	98	0.999012582663618	0.0283323968717686	0.799578325232002
YBL101C	143	184	113	0.981538599011493	0.0336924722025781	0.572245227443853
YBL099W	901	1369	693	0.999999999999877	1.08300424362529e-05	0.98513103473389
YBL098W	72	77	41	0.664856873156343	0.00276715948043774	0.0483990929942425
YBL097W	55	92	53	0.998509328282423	0.423081204543044	0.975157869409291
YBL093C	114	90	50	0.0644941653696507	2.14364105175179e-06	7.66150565401924e-06
YBL092W	2168	3235	1874	0.999999999997085	0.0103441563037975	0.999384420964699
YBL091C-A	33	35	22	0.594105739398441	0.0981289122263563	0.228012257875211
YBL091C	326	411	231	0.999693162829036	0.000386170734616101	0.51775939759869
