# Created by: riboviz
# Date: 2025-10-03 21:18:02.852137
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Pos	Counts	End
-24	2504	5'
-23	2348	5'
-22	2799	5'
-21	2356	5'
-20	2387	5'
-19	2538	5'
-18	3491	5'
-17	2272	5'
-16	1974	5'
-15	1555	5'
-14	2584	5'
-13	8787	5'
-12	133235	5'
-11	222915	5'
-10	54251	5'
-9	61551	5'
-8	107813	5'
-7	26227	5'
-6	52353	5'
-5	81960	5'
-4	19822	5'
-3	71375	5'
-2	92339	5'
-1	20790	5'
0	42902	5'
1	119279	5'
2	29068	5'
3	67075	5'
4	92002	5'
5	31204	5'
6	55535	5'
7	98540	5'
8	26086	5'
9	52222	5'
10	97843	5'
11	25287	5'
12	50752	5'
13	98993	5'
14	26304	5'
15	57667	5'
16	97538	5'
17	26877	5'
18	51922	5'
19	93627	5'
20	24576	5'
21	48091	5'
22	90965	5'
23	23130	5'
24	51453	5'
25	91916	5'
26	22894	5'
27	49057	5'
28	93154	5'
29	23683	5'
30	48299	5'
31	90762	5'
32	22878	5'
33	47973	5'
34	91959	5'
35	23079	5'
36	49392	5'
37	97023	5'
38	22834	5'
39	53756	5'
40	97174	5'
41	24532	5'
42	50957	5'
43	97192	5'
44	24621	5'
45	52073	5'
46	99199	5'
47	25492	5'
48	54723	5'
49	103662	5'
50	26349	5'
-49	24125	3'
-48	51496	3'
-47	95904	3'
-46	23903	3'
-45	50803	3'
-44	97010	3'
-43	22983	3'
-42	50567	3'
-41	94667	3'
-40	22905	3'
-39	50801	3'
-38	97815	3'
-37	24483	3'
-36	51385	3'
-35	91215	3'
-34	21652	3'
-33	50061	3'
-32	92336	3'
-31	21475	3'
-30	42446	3'
-29	80653	3'
-28	18634	3'
-27	52593	3'
-26	99335	3'
-25	23296	3'
-24	42393	3'
-23	79691	3'
-22	18457	3'
-21	40736	3'
-20	73101	3'
-19	22058	3'
-18	128782	3'
-17	258031	3'
-16	63383	3'
-15	12170	3'
-14	6531	3'
-13	4031	3'
-12	2984	3'
-11	2162	3'
-10	1894	3'
-9	1766	3'
-8	1475	3'
-7	1445	3'
-6	1632	3'
-5	1120	3'
-4	1080	3'
-3	1126	3'
-2	1156	3'
-1	908	3'
0	803	3'
1	677	3'
2	764	3'
3	715	3'
4	607	3'
5	619	3'
6	1172	3'
7	554	3'
8	3163	3'
9	1198	3'
10	739	3'
11	774	3'
12	770	3'
13	714	3'
14	809	3'
15	669	3'
16	560	3'
17	589	3'
18	728	3'
19	753	3'
20	839	3'
21	798	3'
22	703	3'
23	962	3'
24	939	3'
25	552	3'
