# Created by: riboviz
# Date: 2025-10-03 22:20:13.573746
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL068C	1	0	1	0.5	0.681324055883031	0.630558659818236
YAL067W-A	0	0	0	1	1	1
YAL067C	27	0	11	1.09520890100449e-07	0.00483763794451467	1.96512185161028e-08
YAL065C	6	3	4	0.149308837224405	0.282659318713604	0.126825501642205
YAL064W-B	0	0	0	1	1	1
YAL064C-A	0	0	0	1	1	1
YAL064W	0	0	0	1	1	1
YAL063C-A	0	0	0	1	1	1
YAL063C	19	12	13	0.108308094044523	0.11111459038629	0.041211743750312
YAL062W	253	36	115	7.53614388832909e-14	6.38791943359481e-06	4.83342616754696e-17
YAL061W	1008	101	406	5.60197507759029e-49	8.09619898198644e-24	2.24617198210798e-68
YAL060W	5407	611	2313	9.34578149582406e-61	7.09104590594997e-31	6.59858324987611e-87
YAL059W	1484	195	670	7.96947546481968e-30	1.47388222299735e-15	3.48123893005932e-42
YAL058W	970	111	431	5.61216454582589e-47	4.27922480012807e-20	4.60627859607994e-62
YAL056W	609	72	269	4.0878688078551e-48	4.79110240294669e-20	6.30986540754486e-63
YAL055W	359	51	144	1.7748349477655e-20	1.98006529771609e-09	7.18872062417572e-27
YAL054C	50	16	19	0.000209518717284062	0.00134626407278332	1.9520047407182e-06
YAL053W	3067	349	1341	3.07182618007304e-101	1.25528422582052e-46	2.8115384107483e-140
YAL051W	1445	149	653	3.64341840745253e-96	3.39224795282705e-37	4.3588901372588e-124
YAL049C	2508	300	912	1.5468307997259e-38	2.95961958129947e-24	6.94787212922424e-60
YAL048C	555	73	244	1.31998071549954e-43	1.52797641520613e-17	4.91005218698753e-56
YAL047C	474	64	199	8.81234508968119e-40	4.73543385340003e-17	2.64825787795726e-52
YAL046C	1016	146	496	2.78198257336176e-19	3.94649390888012e-11	6.32049409034655e-28
