# Created by: riboviz
# Date: 2025-09-09 21:46:40.321245
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Position	Mean	SD	End
1	0.70306612814751	0.0400733651164121	5'
2	1.77575774262484	0.0767550761501952	5'
3	1.18491863969553	0.160833532771799	5'
4	0.78116058361696	0.0223373905824097	5'
5	0.798550911875025	0.0252213766972566	5'
6	1.09202620303754	0.0295419551464655	5'
7	0.895115840214843	0.0287318466872388	5'
8	0.711815299507158	0.0225210151665011	5'
9	0.77673199070652	0.0240332176237242	5'
10	0.750592491088807	0.0243140552229228	5'
11	0.806543982006061	0.0323935369229433	5'
12	0.821125934272141	0.0254482070658401	5'
13	0.853098214796287	0.0267443806006028	5'
14	0.80578788077745	0.0247785174062127	5'
15	0.885394538704123	0.0279541425663812	5'
16	0.931624728110658	0.026873997954079	5'
17	0.959816502491745	0.0271116297687855	5'
18	1.07182749878748	0.037621436846486	5'
19	1.0436357244064	0.0309785474808274	5'
20	1.122270252182	0.0318534646167922	5'
21	1.13955256597883	0.0294771464697274	5'
22	1.22596413496301	0.0341433711948729	5'
23	1.20328109810466	0.0299956158836324	5'
24	1.26052876255668	0.0304168722824303	5'
25	1.30697498088568	0.032242316677221	5'
26	1.3166962823964	0.0314538111102404	5'
27	1.3199367162333	0.0317778544939311	5'
28	1.33829917464244	0.032717580306634	5'
29	1.37826452529762	0.0335276887658607	5'
30	1.40742842982978	0.0347266492855161	5'
31	1.49383999881396	0.0424172789251079	5'
32	1.41931002056511	0.033700511903829	5'
33	1.43983276819885	0.0327499846450031	5'
34	1.50572158954928	0.0369841515252277	5'
35	1.49816057726317	0.0343377972250873	5'
36	1.47763782962943	0.0339489451646585	5'
37	1.55216780787828	0.0368005269411364	5'
38	1.49167970958935	0.0355907649753579	5'
39	1.52300390334612	0.0340677610720118	5'
40	1.49167970958935	0.0343702015634564	5'
41	1.53812592791835	0.0384747510902048	5'
42	1.47763782962943	0.0355367577447428	5'
43	1.52732448179533	0.0407754591144085	5'
44	1.47871797424173	0.0338193278111822	5'
45	1.47331725118022	0.0369841515252277	5'
46	1.47115696195561	0.0402461882543804	5'
47	1.51112231261079	0.0348238623006233	5'
48	1.45819522660799	0.034661840608778	5'
49	1.47223710656791	0.0352235158071751	5'
50	1.43875262358655	0.0347482521777621	5'
51	1.41174900827899	0.0302332476983389	5'
52	1.4149894421159	0.0336465046732139	5'
53	1.42579088823892	0.0339813495030276	5'
54	1.42147030978971	0.0401597766853962	5'
55	1.39554683909446	0.0317886559400541	5'
56	1.40634828521748	0.0325987643992807	5'
57	1.38798582680834	0.0298443956379101	5'
58	1.45603493738338	0.050280731702668	5'
59	1.40202770676827	0.0347590536238852	5'
60	1.39122626064525	0.0401921810237653	5'
61	1.39662698370676	0.0332360497205391	5'
62	1.44631363587266	0.0364764835574457	5'
63	1.39770712831906	0.0324367427074354	5'
64	1.38906597142064	0.0301360346832317	5'
65	1.3696233683992	0.031756251601685	5'
66	1.39986741754367	0.0318858689551613	5'
67	1.40094756215597	0.0334196743046304	5'
68	1.43551218974964	0.0332360497205391	5'
69	1.43119161130043	0.0326635730760189	5'
70	1.40310785138057	0.0329336092290944	5'
71	1.4149894421159	0.0338625335956743	5'
72	1.4160695867282	0.0336573061193369	5'
73	1.33937931925474	0.0289694785019453	5'
74	1.35666163305158	0.0325123528302966	5'
75	1.39446669448216	0.0319938834163915	5'
76	1.38366524835913	0.030287254928954	5'
77	1.42687103285122	0.0331172338131858	5'
78	1.40310785138057	0.0377618556460853	5'
79	1.33937931925474	0.0316158328020857	5'
80	1.32857787313172	0.0306112983126447	5'
81	1.38906597142064	0.03563397075985	5'
82	1.30913527011028	0.0295851609309576	5'
83	1.32209700545791	0.0324151398151894	5'
84	1.34802047615316	0.0313133923106411	5'
85	1.32425729468251	0.0314322082179944	5'
86	1.40094756215597	0.0369085414023666	5'
87	1.30157425782417	0.0306004968665217	5'
88	1.24540673798445	0.0299308072068943	5'
89	1.31453599317179	0.0338193278111822	5'
90	1.29725367937496	0.0310865619420577	5'
91	1.30049411321186	0.0318750675090383	5'
92	1.29833382398726	0.0301792404677238	5'
93	1.28861252247654	0.0301792404677238	5'
94	1.35450134382697	0.0367141153721522	5'
95	1.32857787313172	0.0319290747396534	5'
96	1.31345584855949	0.0316158328020857	5'
97	1.29617353476265	0.0324583455996815	5'
98	1.28321179941503	0.0292287132088979	5'
99	1.31345584855949	0.0365304907880608	5'
100	1.29077281170114	0.0304276737285533	5'
101	1.30805512549798	0.0306761069893828	5'
102	1.2216435565138	0.0283753989651791	5'
103	1.22920456879992	0.0287318466872388	5'
104	1.26700963023049	0.0303628650518152	5'
105	1.27349049790431	0.0292287132088979	5'
106	1.27673093174121	0.0293367276701281	5'
107	1.32965801774402	0.033214446828293	5'
108	1.23784572569833	0.0292179117627748	5'
109	1.30805512549798	0.0303196592673231	5'
110	1.2702500640674	0.029801189853418	5'
111	1.24540673798445	0.0293583305623741	5'
112	1.22596413496301	0.0290666915170525	5'
113	1.24324644875985	0.0286562365643777	5'
114	1.33073816235632	0.0320586920931296	5'
115	1.26700963023049	0.0323071253539592	5'
116	1.25296775027057	0.0298443956379101	5'
117	1.25944861794438	0.0287210452411158	5'
118	1.25620818410747	0.0328796019984793	5'
119	1.31345584855949	0.0342513856561031	5'
120	1.25080746104596	0.0295095508080964	5'
121	1.33829917464244	0.051263663299863	5'
122	1.23244500263682	0.0290558900709295	5'
123	1.24324644875985	0.0304276737285533	5'
124	1.20976196577848	0.0296607710538187	5'
125	1.19139950736934	0.0294447421313583	5'
126	1.26700963023049	0.0349318767618535	5'
127	1.22596413496301	0.0297255797305569	5'
128	1.24648688259675	0.0409374808062538	5'
129	1.21084211039078	0.0298984028685252	5'
130	1.19572008581855	0.0283753989651791	5'
131	1.18275835047092	0.0275112832753373	5'
132	1.17843777202171	0.0272952543528769	5'
133	1.2691699194551	0.0367465197105212	5'
134	1.19139950736934	0.0284186047496712	5'
135	1.20652153194157	0.0288398611484691	5'
136	1.16115545822488	0.0287858539178539	5'
137	1.122270252182	0.0273168572451229	5'
138	1.13199155369272	0.027338460137369	5'
139	1.13307169830502	0.0269604095230632	5'
140	1.17519733818481	0.0301036303448626	5'
141	1.17519733818481	0.0282565830578259	5'
142	1.19139950736934	0.0286022293337626	5'
143	1.21300239961538	0.0310433561575656	5'
144	1.17735762740941	0.0285590235492705	5'
145	1.14171285520344	0.027824525212905	5'
146	1.14927386748955	0.0296499696076957	5'
147	1.16115545822488	0.0274140702602301	5'
148	1.18167820585862	0.0277273121977978	5'
149	1.22488399035071	0.0324475441535584	5'
150	1.18923921814474	0.0291315001937907	5'
151	1.19572008581855	0.0325123528302966	5'
152	1.16655618128639	0.0281593700427187	5'
153	1.1244305414066	0.0290126842864374	5'
