# Created by: riboviz
# Date: 2025-09-09 20:42:14.432405
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Pos	Counts	End
-24	448	5'
-23	421	5'
-22	597	5'
-21	501	5'
-20	397	5'
-19	854	5'
-18	5277	5'
-17	402	5'
-16	456	5'
-15	333	5'
-14	2650	5'
-13	3806	5'
-12	39325	5'
-11	134421	5'
-10	22232	5'
-9	48060	5'
-8	80983	5'
-7	16886	5'
-6	24232	5'
-5	58050	5'
-4	17904	5'
-3	37795	5'
-2	77752	5'
-1	13160	5'
0	14899	5'
1	103137	5'
2	20609	5'
3	6059	5'
4	54377	5'
5	14660	5'
6	36564	5'
7	45460	5'
8	12744	5'
9	21715	5'
10	60571	5'
11	11283	5'
12	22379	5'
13	50292	5'
14	13299	5'
15	37715	5'
16	73773	5'
17	20456	5'
18	40348	5'
19	65284	5'
20	21610	5'
21	20681	5'
22	53689	5'
23	13548	5'
24	27133	5'
25	48204	5'
26	13915	5'
27	27723	5'
28	56873	5'
29	14633	5'
30	30839	5'
31	53847	5'
32	15459	5'
33	22852	5'
34	74222	5'
35	17341	5'
36	26585	5'
37	73216	5'
38	20659	5'
39	32822	5'
40	90324	5'
41	20340	5'
42	29101	5'
43	75684	5'
44	19733	5'
45	35006	5'
46	74962	5'
47	18098	5'
48	34606	5'
49	73751	5'
50	21050	5'
-49	20950	3'
-48	35093	3'
-47	100078	3'
-46	19732	3'
-45	39775	3'
-44	94455	3'
-43	23462	3'
-42	40419	3'
-41	82150	3'
-40	23661	3'
-39	54134	3'
-38	108913	3'
-37	26908	3'
-36	34446	3'
-35	91149	3'
-34	20472	3'
-33	49874	3'
-32	75102	3'
-31	18762	3'
-30	33331	3'
-29	93171	3'
-28	17749	3'
-27	29721	3'
-26	75422	3'
-25	16580	3'
-24	30240	3'
-23	71518	3'
-22	15873	3'
-21	26113	3'
-20	59101	3'
-19	18688	3'
-18	55099	3'
-17	124773	3'
-16	28575	3'
-15	5274	3'
-14	4704	3'
-13	2831	3'
-12	2360	3'
-11	2652	3'
-10	1826	3'
-9	1965	3'
-8	2352	3'
-7	1488	3'
-6	756	3'
-5	1078	3'
-4	376	3'
-3	312	3'
-2	221	3'
-1	185	3'
0	145	3'
1	130	3'
2	172	3'
3	131	3'
4	133	3'
5	130	3'
6	273	3'
7	95	3'
8	1265	3'
9	255	3'
10	205	3'
11	96	3'
12	154	3'
13	141	3'
14	154	3'
15	110	3'
16	106	3'
17	121	3'
18	514	3'
19	261	3'
20	573	3'
21	265	3'
22	117	3'
23	146	3'
24	182	3'
25	73	3'
