# Created by: riboviz
# Date: 2026-03-12 09:20:50.820807
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL068C	0	0	0	1	1	1
YAL067W-A	0	0	0	1	1	1
YAL067C	3	2	0	0.382797241997882	0.0744573365893828	0.109079314788356
YAL065C	0	0	0	1	1	1
YAL064W-B	0	0	0	1	1	1
YAL064C-A	0	0	0	1	1	1
YAL064W	0	0	0	1	1	1
YAL063C-A	0	0	0	1	1	1
YAL063C	0	3	4	0.978345928594604	0.963180864939849	0.996467661922508
YAL062W	9	3	9	0.0618052011841176	0.5	0.138121204722369
YAL061W	23	14	21	0.0654307650498061	0.375954273169782	0.0982186031713332
YAL060W	224	101	162	1.51854882041275e-10	0.00107338825108419	1.7626502513257e-11
YAL059W	71	39	42	0.00220282583168386	0.00932402800133482	0.000118001696899556
YAL058W	64	25	30	1.87492728342674e-05	0.000342625216492754	5.30717035797993e-08
YAL056W	52	9	31	8.18622855383821e-08	0.00985633050293684	4.36098420661878e-08
YAL055W	19	4	20	0.00147297102213053	0.566841718532498	0.0236600877213584
YAL054C	0	1	2	0.977249868051821	0.97032678060404	0.996997853917268
YAL053W	220	81	159	2.63396431131988e-14	0.000372369487929442	6.50090941227077e-15
YAL051W	61	30	52	0.000577961093569133	0.210969012015102	0.00208094952972541
YAL049C	105	43	69	1.02727478240871e-07	0.00648376628244684	2.81978882862301e-08
YAL048C	37	12	27	0.000467698143253476	0.120609944072466	0.000765622057537096
YAL047C	29	17	16	0.0638668537300436	0.0323929290568343	0.00859002435673493
YAL046C	48	19	42	0.00195246596146997	0.39721641669901	0.0130483425290652
YAL044W-A	52	28	45	0.00471353836212134	0.268728109365404	0.0115488922950702
YAL044C	485	210	347	3.71059831706906e-15	2.45755302193427e-05	2.88524135792193e-17
YAL043C	116	60	81	3.25912254063663e-05	0.00973517488380597	3.80776698980984e-06
YAL042W	448	226	292	2.37813127258033e-12	7.14266925878161e-06	8.85347855650203e-16
YAL041W	111	65	89	0.000413257771517554	0.0472421741518039	0.000194955116328105
YAL040C	43	17	39	0.00160101681434524	0.452459069587614	0.0150502605021807
YAL039C	52	16	30	2.67054639000341e-05	0.0215364314377947	9.04227302324857e-06
YAL038W	38804	17930	24679	1.66872664682267e-66	6.36698803386025e-27	9.92030360978937e-87
YAL037C-A	0	0	0	1	1	1
YAL037W	0	0	0	1	1	1
YAL036C	306	157	222	3.57417338080943e-09	0.0015131163671257	3.02878483230774e-10
YAL035W	1653	822	1079	3.45442340813281e-40	2.31414123297535e-18	2.69687609524361e-54
YAL034W-A	19	8	12	0.0177239462762304	0.083085052341438	0.00682658798028862
YAL034C	2	3	0	0.714624805970913	0.17288929307558	0.395206324589612
YAL033W	55	33	35	0.0150978015967884	0.0203032512575648	0.00143896704913159
YAL032C	32	17	20	0.012907972125031	0.0489526393952716	0.00301222116394284
YAL031C	45	14	20	3.68042795000449e-05	0.00183416214760444	5.94117766188783e-07
YAL030W	67	28	46	0.000149207205969204	0.0356433098552913	6.33606690603652e-05
YAL029C	177	77	118	1.18988045164683e-09	0.000530346810328868	3.15755286748711e-11
YAL028W	12	1	6	0.00130095998458164	0.0823551499565846	0.0009300134596791
YAL027W	23	9	16	0.00841293810784769	0.139868634597176	0.00705107569707581
YAL026C	242	98	166	6.06541852457786e-14	0.000146168143253185	2.98499370858229e-15
YAL025C	178	105	125	4.55225738363245e-05	0.00290828016481605	1.1950894030776e-06
YAL024C	54	25	44	0.000950274721825938	0.15943252900961	0.00186193595938931
YAL023C	828	377	555	1.04663014661019e-28	1.5817322793786e-09	1.68103128552259e-33
YAL022C	118	61	74	3.4414518822379e-05	0.00202978914218807	6.2872653566065e-07
YAL021C	244	93	135	7.20350426070611e-15	2.49726702734439e-08	7.40532295008118e-21
YAL020C	20	8	17	0.0147266271278017	0.319583289502356	0.0306609271510207
YAL019W	198	84	153	1.54281294004326e-11	0.00845052841679296	8.5096892457269e-11
YAL018C	0	0	0	1	1	1
YAL017W	130	63	80	1.25873898851398e-06	0.000350481417824696	5.18163336145891e-09
YAL016W	402	205	324	6.14527824442718e-14	0.00553383224706074	9.70495309659299e-13
YAL015C	13	14	17	0.589356751422914	0.771507539620764	0.753545531246252
YAL014C	32	20	11	0.0457705316656576	0.000699529667416507	0.000278002394304418
YAL013W	41	23	26	0.0154041439170005	0.0318016352229316	0.00226507300238436
YAL012W	1814	803	1202	1.22885828430836e-32	1.23409079545826e-12	8.31630777510584e-41
YAL011W	29	6	19	0.000120750472997708	0.0753645846157845	0.000151951451014658
YAL010C	29	9	21	0.00104321944982074	0.146538809137802	0.00175200566394763
YAL009W	17	10	17	0.115370422591306	0.5	0.198376630763172
YAL008W	45	21	33	0.00177966712434574	0.112815639270583	0.00176222286908039
YAL007C	271	120	190	2.96414530136761e-10	0.0004713148934955	9.26774162445493e-12
YAL005C	22570	9861	14681	1.31345053595352e-80	1.1593108360303e-28	2.57983177209965e-100
YAL003W	5189	2379	3517	6.29507912071487e-27	4.3304535594859e-09	1.60159138820314e-31
YAL002W	32	17	30	0.0228556343937752	0.363266434998822	0.0484432518340251
YAL001C	99	51	48	0.000102684818645722	1.76250313058986e-05	1.42819906220458e-08
YAR002W	201	80	128	1.38288911234185e-10	0.000120396237116078	8.37269657336234e-13
YAR002C-A	369	183	272	4.73431347927664e-10	0.00391327902674243	2.70565979856391e-10
YAR003W	39	17	35	0.00116266341751826	0.327528493643845	0.00677127340331919
YAR007C	312	120	199	4.28922809850572e-17	6.7849153983435e-06	1.59934204084258e-19
YAR008W	34	18	17	0.0171991467755865	0.0140222440043532	0.00114775795138738
YAR014C	110	62	89	0.000161940658141317	0.0773735555698492	0.000193697693137157
YAR015W	417	199	277	8.91478407117081e-13	8.3231874537708e-06	4.87243144093001e-16
YAR018C	25	22	38	0.329703427096613	0.950012299540272	0.802761590352341
YAR019C	30	8	17	0.00012726534906366	0.0294047573583984	4.38149226590355e-05
YAR020C	0	0	0	1	1	1
YAR023C	1	0	0	0.5	0.5	0.5
