# Created by: riboviz
# Date: 2026-03-12 08:25:28.968486
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ReadLen	Pos	Counts
10	-24	0
11	-24	0
12	-24	0
13	-24	0
14	-24	0
15	-24	0
16	-24	0
17	-24	0
18	-24	0
19	-24	0
20	-24	0
21	-24	0
22	-24	0
23	-24	1
24	-24	0
25	-24	1
26	-24	1
27	-24	0
28	-24	2
29	-24	15
30	-24	41
31	-24	42
32	-24	48
33	-24	27
34	-24	5
35	-24	0
36	-24	0
37	-24	0
38	-24	0
39	-24	0
40	-24	0
41	-24	0
42	-24	0
43	-24	0
44	-24	0
45	-24	0
46	-24	0
47	-24	0
48	-24	0
49	-24	0
50	-24	0
10	-23	0
11	-23	0
12	-23	0
13	-23	0
14	-23	0
15	-23	0
16	-23	0
17	-23	0
18	-23	0
19	-23	0
20	-23	0
21	-23	0
22	-23	0
23	-23	0
24	-23	3
25	-23	2
26	-23	1
27	-23	2
28	-23	5
29	-23	20
30	-23	42
31	-23	43
32	-23	44
33	-23	18
34	-23	5
35	-23	0
36	-23	0
37	-23	0
38	-23	0
39	-23	0
40	-23	0
41	-23	0
42	-23	0
43	-23	0
44	-23	0
45	-23	0
46	-23	0
47	-23	0
48	-23	0
49	-23	0
50	-23	0
10	-22	0
11	-22	0
12	-22	0
13	-22	0
14	-22	0
15	-22	0
16	-22	0
17	-22	0
18	-22	0
19	-22	0
20	-22	0
21	-22	0
22	-22	0
23	-22	0
24	-22	0
25	-22	1
26	-22	0
27	-22	3
28	-22	13
29	-22	21
30	-22	64
31	-22	60
32	-22	51
33	-22	23
34	-22	3
35	-22	2
36	-22	0
37	-22	0
38	-22	0
39	-22	0
40	-22	0
41	-22	0
42	-22	0
43	-22	0
44	-22	0
45	-22	0
46	-22	0
47	-22	0
48	-22	0
49	-22	0
50	-22	0
10	-21	0
11	-21	0
12	-21	0
13	-21	0
14	-21	0
15	-21	0
16	-21	0
17	-21	0
18	-21	0
19	-21	1
20	-21	0
21	-21	0
22	-21	0
23	-21	0
24	-21	0
25	-21	0
26	-21	2
