# Created by: riboviz
# Date: 2026-03-12 08:25:28.915591
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Pos	Counts	End
-24	183	5'
-23	185	5'
-22	241	5'
-21	194	5'
-20	271	5'
-19	712	5'
-18	4298	5'
-17	534	5'
-16	344	5'
-15	427	5'
-14	5683	5'
-13	12560	5'
-12	30696	5'
-11	19367	5'
-10	8666	5'
-9	16488	5'
-8	10072	5'
-7	6718	5'
-6	11673	5'
-5	7501	5'
-4	6639	5'
-3	13854	5'
-2	6224	5'
-1	5507	5'
0	8314	5'
1	11007	5'
2	13945	5'
3	5800	5'
4	4714	5'
5	5259	5'
6	11644	5'
7	6633	5'
8	4672	5'
9	9190	5'
10	6836	5'
11	4562	5'
12	9341	5'
13	6329	5'
14	5623	5'
15	13089	5'
16	6114	5'
17	6007	5'
18	9510	5'
19	6156	5'
20	4353	5'
21	10643	5'
22	5978	5'
23	4874	5'
24	10472	5'
25	5397	5'
26	4703	5'
27	9910	5'
28	6258	5'
29	5534	5'
30	9650	5'
31	5709	5'
32	4605	5'
33	8817	5'
34	6041	5'
35	4736	5'
36	10040	5'
37	6053	5'
38	5812	5'
39	11527	5'
40	6542	5'
41	5189	5'
42	10653	5'
43	7159	5'
44	5610	5'
45	11077	5'
46	6450	5'
47	5648	5'
48	11650	5'
49	7247	5'
50	6571	5'
-49	5300	3'
-48	9077	3'
-47	6155	3'
-46	4376	3'
-45	10399	3'
-44	6186	3'
-43	4679	3'
-42	10591	3'
-41	5504	3'
-40	4916	3'
-39	9326	3'
-38	5990	3'
-37	4280	3'
-36	10014	3'
-35	6183	3'
-34	4702	3'
-33	8931	3'
-32	5118	3'
-31	4235	3'
-30	8206	3'
-29	5136	3'
-28	4210	3'
-27	9592	3'
-26	5885	3'
-25	4409	3'
-24	9214	3'
-23	5146	3'
-22	4592	3'
-21	10308	3'
-20	5340	3'
-19	4263	3'
-18	8752	3'
-17	6246	3'
-16	1082	3'
-15	715	3'
-14	413	3'
-13	250	3'
-12	223	3'
-11	143	3'
-10	124	3'
-9	120	3'
-8	114	3'
-7	109	3'
-6	78	3'
-5	83	3'
-4	68	3'
-3	55	3'
-2	82	3'
-1	49	3'
0	47	3'
1	54	3'
2	56	3'
3	41	3'
4	47	3'
5	88	3'
6	418	3'
7	250	3'
8	3686	3'
9	118	3'
10	82	3'
11	49	3'
12	64	3'
13	52	3'
14	128	3'
15	60	3'
16	47	3'
17	71	3'
18	412	3'
19	456	3'
20	718	3'
21	411	3'
22	58	3'
23	182	3'
24	648	3'
25	594	3'
