GeneID,Phi
Q0045,0.1
Q0050,0
Q0055,0
Q0060,0
Q0065,0
Q0070,0
Q0075,0.2
Q0080,0
Q0085,0
Q0105,0.7
Q0110,0
Q0115,0.3
Q0120,0
Q0130,5.4
Q0140,0.7
Q0160,44.9
Q0250,0
Q0255,0
Q0275,0
YAL001C,8.9
YAL002W,3.2
YAL003W,2953.8
YAL005C,2888.1
YAL007C,153.5
YAL008W,32.1
YAL009W,9.5
YAL010C,7.5
YAL011W,11.1
YAL012W,589
YAL013W,15.5
YAL014C,12.8
YAL015C,7.9
YAL016W,69.9
YAL017W,7.8
YAL018C,0
YAL019W,19.9
YAL020C,5.7
YAL021C,30.6
YAL022C,25.7
YAL023C,139.9
YAL024C,5.2
YAL025C,65.4
YAL026C,18
YAL027W,5.6
YAL028W,1
YAL029C,13.5
YAL030W,37.8
YAL031C,7.1
YAL032C,9.9
YAL033W,35.2
YAL034C,0
YAL034W-A,11.4
YAL035W,160.5
YAL036C,114.3
YAL037C-A,1.5
YAL037W,1
YAL038W,8347.1
YAL039C,26.4
YAL040C,12.9
YAL041W,17.3
YAL042W,129.5
YAL043C,20
YAL044C,397.7
YAL044W-A,32.6
YAL046C,30.6
YAL047C,8
YAL048C,4.8
YAL049C,56.8
YAL051W,8.6
YAL053W,27.9
YAL054C,0.3
YAL055W,9.8
YAL056W,5.5
YAL058W,15.4
YAL059W,40.7
YAL060W,68.3
YAL061W,7.5
YAL062W,3.2
YAL063C,0.2
YAL063C-A,0
YAL064C-A,0
YAL064W,0
YAL064W-B,0
YAL065C,0
YAL067C,0.5
YAL067W-A,0
YAL068C,0
YAR002C-A,235.3
YAR002W,30.2
YAR003W,7.4
YAR007C,39.9
YAR008W,11.9
YAR014C,15.1
YAR015W,427.5
YAR018C,10.7
YAR019C,5.2
YAR020C,6.9
YAR023C,0.4
YAR027W,37.9
YAR028W,17.6
YAR029W,0
YAR031W,12.7
YAR033W,19
YAR035C-A,0
YAR035W,0.4
YAR042W,13.7
YAR050W,0
YAR064W,0
YAR066W,8.1
YAR068W,2
YAR071W,14.4
YBL001C,128.5
YBL002W,817.1
YBL003C,898.2
YBL004W,26.7
YBL005W,4.9
YBL006C,38.7
YBL007C,52.2
YBL008W,7.2
YBL008W-A,12.6
