# Created by: riboviz
# Date: 2026-03-12 09:30:19.128698
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Pos	Counts	End
-24	290	5'
-23	300	5'
-22	302	5'
-21	295	5'
-20	327	5'
-19	843	5'
-18	4106	5'
-17	667	5'
-16	391	5'
-15	524	5'
-14	6635	5'
-13	15793	5'
-12	39630	5'
-11	25342	5'
-10	11414	5'
-9	23551	5'
-8	13691	5'
-7	8968	5'
-6	15680	5'
-5	10235	5'
-4	9122	5'
-3	19246	5'
-2	8519	5'
-1	7359	5'
0	10699	5'
1	14004	5'
2	18639	5'
3	7269	5'
4	6020	5'
5	6573	5'
6	15766	5'
7	8745	5'
8	6012	5'
9	12633	5'
10	8793	5'
11	5966	5'
12	12480	5'
13	8614	5'
14	7392	5'
15	17659	5'
16	8289	5'
17	8072	5'
18	12815	5'
19	8373	5'
20	5833	5'
21	14512	5'
22	7998	5'
23	6221	5'
24	13879	5'
25	7229	5'
26	6043	5'
27	13444	5'
28	8334	5'
29	7428	5'
30	13595	5'
31	7889	5'
32	6168	5'
33	11859	5'
34	8309	5'
35	6450	5'
36	14158	5'
37	8227	5'
38	7798	5'
39	15897	5'
40	8916	5'
41	6680	5'
42	14818	5'
43	9957	5'
44	7365	5'
45	15382	5'
46	9072	5'
47	7766	5'
48	16451	5'
49	10270	5'
50	8707	5'
-49	6884	3'
-48	12884	3'
-47	8724	3'
-46	5819	3'
-45	14230	3'
-44	8460	3'
-43	6114	3'
-42	14294	3'
-41	7616	3'
-40	6251	3'
-39	12671	3'
-38	8212	3'
-37	5553	3'
-36	13548	3'
-35	8191	3'
-34	6436	3'
-33	12464	3'
-32	6920	3'
-31	5792	3'
-30	11388	3'
-29	6850	3'
-28	5675	3'
-27	12954	3'
-26	8114	3'
-25	5833	3'
-24	12592	3'
-23	6807	3'
-22	6230	3'
-21	14177	3'
-20	7144	3'
-19	6144	3'
-18	12919	3'
-17	9099	3'
-16	1539	3'
-15	1000	3'
-14	611	3'
-13	389	3'
-12	332	3'
-11	247	3'
-10	230	3'
-9	190	3'
-8	194	3'
-7	167	3'
-6	132	3'
-5	112	3'
-4	94	3'
-3	89	3'
-2	102	3'
-1	74	3'
0	75	3'
1	79	3'
2	83	3'
3	52	3'
4	73	3'
5	87	3'
6	386	3'
7	324	3'
8	5256	3'
9	162	3'
10	120	3'
11	67	3'
12	60	3'
13	70	3'
14	120	3'
15	61	3'
16	89	3'
17	83	3'
18	370	3'
19	493	3'
20	788	3'
21	477	3'
22	77	3'
23	142	3'
24	647	3'
25	660	3'
