# Created by: riboviz
# Date: 2026-03-12 10:33:42.93337
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ORF	readcount	rpb	tpm
Q0045	0	0	0
Q0050	1	0.000391849529780564	0.0411374088797275
Q0055	1	0.000382848392036753	0.0401924454291977
Q0060	1	0.000772200772200772	0.0810676968811309
Q0065	0	0	0
Q0070	0	0	0
Q0075	1	0.000899280575539568	0.0944088736160652
Q0080	0	0	0
Q0085	0	0	0
Q0105	0	0	0
Q0110	0	0	0
Q0115	0	0	0
Q0120	0	0	0
Q0130	0	0	0
Q0140	0	0	0
Q0160	42	0.0556291390728477	5.84009540843008
Q0250	1	0.0012453300124533	0.130738066576668
Q0255	0	0	0
Q0275	2	0.00233372228704784	0.245000390807618
YAL001C	296	0.0838526912181303	8.8030791978683
YAL002W	145	0.037448347107438	3.93142737134668
YAL003W	17897	26.7919161676647	2812.68682567466
YAL005C	75157	38.0349190283401	3993.00725626074
YAL007C	974	1.40143884892086	147.126788643276
YAL008W	184	0.285714285714286	29.9950478460184
YAL009W	72	0.0870616686819831	9.139966211846
YAL010C	123	0.0804447351209941	8.44530287620074
YAL011W	200	0.103896103896104	10.9072901258249
YAL012W	6353	5.15665584415584	541.359485698168
YAL013W	196	0.154940711462451	16.2660891876432
YAL014C	156	0.191411042944785	20.0948418698479
YAL015C	102	0.0817963111467522	8.58719493266125
YAL016W	1558	0.79693094629156	83.6639365239583
YAL017W	460	0.111704711024769	11.7270585313477
YAL018C	0	0	0
YAL019W	641	0.186174847516701	19.5451321064602
YAL020C	89	0.0848427073403241	8.90701373120566
YAL021C	796	0.310816087465834	32.6303019519748
YAL022C	379	0.236727045596502	24.8522367068978
YAL023C	2905	1.24838848302535	131.059152975674
YAL024C	209	0.0479908151549943	5.03820378860218
YAL025C	611	0.631198347107438	66.2648861763537
YAL026C	871	0.211664641555286	22.221118677664
YAL027W	79	0.0948379351740696	9.95633941107334
YAL028W	22	0.0134638922888617	1.41347532689316
YAL029C	627	0.140488460676675	14.7488533493362
YAL030W	222	0.553615960099751	58.1200802402901
YAL031C	141	0.0605150214592275	6.35302837425326
YAL032C	116	0.0977253580454928	10.2594687662034
YAL033W	172	0.302284710017575	31.7346551903393
YAL034C	5	0.00387897595034911	0.407225242284967
YAL034W-A	65	0.0708833151581243	7.4415195037832
YAL035W	5406	1.76897905759162	185.712140148729
YAL036C	1166	1.00777873811582	105.799300137944
YAL037C-A	0	0	0
YAL037W	6	0.00705052878965922	0.740183319349456
YAL038W	133122	85.8851612903226	9016.45332758182
YAL039C	207	0.241540256709452	25.3575404485885
YAL040C	134	0.0748603351955307	7.85903767585623
YAL041W	454	0.173813169984686	18.2473702248558
YAL042W	1488	1.14903474903475	120.628732959123
YAL043C	429	0.178378378378378	18.7266379795412
YAL044C	1626	2.90357142857143	304.824673735162
YAL044W-A	187	0.492105263157895	51.6625231979449
YAL046C	178	0.440594059405941	46.2547396239344
YAL047C	158	0.0824634655532359	8.65723458186231
YAL048C	150	0.0736738703339882	7.73447942984267
YAL049C	420	0.532994923857868	55.955228849806
YAL051W	265	0.0830460670636164	8.7183976424889
YAL053W	837	0.348895373072113	36.6279669299337
YAL054C	17	0.00776610324349018	0.815306234279624
YAL055W	60	0.101694915254237	10.6762034706167
YAL056W	136	0.0505576208178439	5.30767389394229
YAL058W	177	0.113753213367609	11.9421157715992
YAL059W	276	0.402332361516035	42.2379245178627
YAL060W	660	0.551839464882943	57.9335790336978
YAL061W	94	0.0722521137586472	7.58521963208306
YAL062W	41	0.0288529204785362	3.02905655587871
YAL063C	14	0.00348605577689243	0.365975434376221
YAL063C-A	1	0.0029585798816568	0.310599607872972
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL064W-B	3	0.00700934579439252	0.735859818652321
YAL065C	5	0.0115207373271889	1.20947773572655
YAL067C	11	0.00601421541826134	0.631388377294538
YAL067W-A	0	0	0
YAL068C	1	0.0024390243902439	0.256055286490401
YAR002C-A	1291	1.82602545968883	191.701023609949
