# Created by: riboviz
# Date: 2026-03-12 12:44:13.526794
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL061W	39	12	20	0.000139122719025908	0.00989214811998953	1.23233450407706e-05
YAL060W	410	165	229	5.02550185164759e-19	1.9463627212134e-10	6.86465543774168e-27
YAL059W	160	66	85	1.91985484975539e-07	2.29085069074417e-05	4.83690035883661e-11
YAL058W	115	47	82	1.3605374908733e-07	0.0118993630287583	8.28840427482989e-08
YAL056W	92	36	66	1.87681766501295e-07	0.0253163757403741	3.26342880337636e-07
YAL055W	33	14	37	0.00432184939453166	0.712226838278905	0.0720304341322629
YAL053W	480	180	299	1.93592423523099e-21	1.36282965972804e-08	1.45026438244522e-26
YAL051W	187	67	99	1.88171794605172e-12	6.55105354533061e-07	3.95631847807986e-17
YAL049C	265	112	141	7.2976084240382e-11	3.21364493102307e-07	4.06754290070603e-16
YAL048C	77	19	63	4.25220254627295e-08	0.12723237696634	2.18330085734013e-06
YAL047C	58	22	46	3.52637350190987e-05	0.135815094020576	0.000166785162045615
YAL046C	105	51	60	5.52549273700287e-05	0.00279593573701354	1.34533679682322e-06
YAL044W-A	103	58	62	0.00123261794042987	0.0111647029035551	8.62017451005205e-05
YAL044C	1482	579	895	1.74187643133211e-19	4.44573447200223e-09	1.28621338673144e-25
YAL043C	260	93	135	7.32488959756286e-17	3.20604763432583e-09	1.32013091235718e-23
YAL042W	1015	389	605	1.05225971282129e-30	2.37043384916683e-10	3.43327239726029e-36
YAL041W	290	112	183	9.63583061261727e-17	9.14151969130604e-06	4.49885612877359e-19
YAL040C	105	34	51	2.54954667101957e-08	2.6473695883848e-05	9.6997928693458e-12
YAL039C	127	60	59	5.43270976658144e-06	6.54600595484677e-06	2.95772029853407e-10
YAL038W	86401	34734	47971	8.21824420303231e-70	2.56382668379197e-37	2.31244267656018e-102
YAL036C	968	437	639	3.00603506660433e-23	1.17122470718891e-08	4.46369617944417e-28
YAL035W	3954	1575	2444	4.17193145620704e-88	1.03541733866258e-32	1.06254822845889e-111
YAL033W	155	56	87	5.41400847452866e-09	6.87129910367826e-05	7.98988389399169e-12
YAL032C	65	29	30	7.63058694237513e-05	0.000336551200647008	1.8670298692988e-07
YAL031C	80	32	50	3.19110932604018e-05	0.00920809470800526	3.4962667501293e-06
YAL030W	145	59	83	1.55859604430151e-06	0.000475506280984362	8.80762590344877e-09
YAL029C	356	122	223	8.66813068767433e-22	1.60517355809251e-07	2.19628149265166e-25
YAL027W	30	12	31	0.00180690333671545	0.454440166738755	0.0162324510427096
YAL026C	448	199	301	8.73714798295722e-19	9.23313263821983e-07	5.06063087200533e-22
YAL025C	387	131	220	7.31729695397857e-20	7.2865578305663e-10	6.6761589531692e-27
YAL024C	139	56	93	1.55744492232385e-08	0.00440946031032737	4.06739066335504e-09
YAL023C	1512	555	916	5.27999970508948e-53	7.43333549663649e-21	6.30549860370091e-68
YAL022C	271	121	147	2.01651671014801e-12	1.57054662437103e-08	5.86787583943172e-19
YAL021C	475	190	274	5.55130074344189e-23	1.94721518307791e-11	1.9840146061152e-31
YAL020C	53	28	45	0.00196462244688257	0.251173167165357	0.00597742398863685
YAL019W	456	157	277	2.86379312072595e-26	3.43055276711946e-09	3.7264704693047e-31
YAL017W	178	96	150	2.64841068887947e-06	0.0853292156685787	1.40694564548679e-05
YAL016W	921	372	555	5.58650372271526e-33	7.48472965837888e-14	1.13164124162573e-42
