# Created by: riboviz
# Date: 2026-03-12 11:46:19.350806
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Pos	Counts	End
-24	303	5'
-23	278	5'
-22	349	5'
-21	323	5'
-20	364	5'
-19	800	5'
-18	7333	5'
-17	784	5'
-16	426	5'
-15	626	5'
-14	10440	5'
-13	30310	5'
-12	72173	5'
-11	39578	5'
-10	15279	5'
-9	28450	5'
-8	15771	5'
-7	10468	5'
-6	21589	5'
-5	11973	5'
-4	11223	5'
-3	27500	5'
-2	11911	5'
-1	8948	5'
0	15336	5'
1	20375	5'
2	18964	5'
3	9507	5'
4	7816	5'
5	7980	5'
6	20369	5'
7	12496	5'
8	7013	5'
9	15987	5'
10	10819	5'
11	7091	5'
12	16526	5'
13	10401	5'
14	8558	5'
15	21064	5'
16	9980	5'
17	9355	5'
18	16121	5'
19	10044	5'
20	6642	5'
21	17672	5'
22	10246	5'
23	7646	5'
24	18302	5'
25	8483	5'
26	7386	5'
27	17827	5'
28	10079	5'
29	9044	5'
30	17624	5'
31	9978	5'
32	7655	5'
33	15456	5'
34	10704	5'
35	8358	5'
36	19298	5'
37	11148	5'
38	9725	5'
39	21164	5'
40	11633	5'
41	8534	5'
42	18860	5'
43	12384	5'
44	9703	5'
45	19711	5'
46	11699	5'
47	9809	5'
48	22301	5'
49	13195	5'
50	11028	5'
-49	9415	3'
-48	18181	3'
-47	11661	3'
-46	8323	3'
-45	21079	3'
-44	11727	3'
-43	8518	3'
-42	20163	3'
-41	11435	3'
-40	8491	3'
-39	18668	3'
-38	11776	3'
-37	8720	3'
-36	20442	3'
-35	11913	3'
-34	8579	3'
-33	17771	3'
-32	10107	3'
-31	8380	3'
-30	16239	3'
-29	9516	3'
-28	7884	3'
-27	18875	3'
-26	11602	3'
-25	7977	3'
-24	17822	3'
-23	10045	3'
-22	8998	3'
-21	21040	3'
-20	10377	3'
-19	6829	3'
-18	15652	3'
-17	10485	3'
-16	1517	3'
-15	491	3'
-14	391	3'
-13	350	3'
-12	307	3'
-11	228	3'
-10	222	3'
-9	195	3'
-8	198	3'
-7	203	3'
-6	156	3'
-5	181	3'
-4	136	3'
-3	143	3'
-2	162	3'
-1	139	3'
0	87	3'
1	116	3'
2	107	3'
3	86	3'
4	72	3'
5	115	3'
6	634	3'
7	159	3'
8	5120	3'
9	203	3'
10	124	3'
11	80	3'
12	85	3'
13	63	3'
14	71	3'
15	67	3'
16	73	3'
17	74	3'
18	55	3'
19	70	3'
20	93	3'
21	42	3'
22	63	3'
23	52	3'
24	85	3'
25	63	3'
