# Created by: riboviz
# Date: 2025-09-09 20:30:28.782655
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL068C	1	0	0	0.5	0.5	0.5
YAL067W-A	0	0	0	1	1	1
YAL067C	9	0	8	0.00167671822747316	0.414654758379629	0.0129862376187462
YAL065C	4	0	0	0.0359303191129258	0.0359303191129258	0.00545474918213465
YAL064W-B	1	1	0	0.681324055883031	0.5	0.630558659818236
YAL064C-A	0	0	0	1	1	1
YAL064W	0	0	0	1	1	1
YAL063C-A	0	0	0	1	1	1
YAL063C	12	3	5	0.0158500201288835	0.0699652440510306	0.00519290222035778
YAL062W	39	3	19	0.000108992799804826	0.00537078482605619	4.97756843116602e-06
YAL061W	57	11	19	8.07657126280089e-08	7.16628142678895e-05	8.12573527571855e-11
YAL060W	1347	188	493	1.75192218565564e-43	5.88757928797262e-20	5.14213216804188e-59
YAL059W	641	85	235	7.62989260915016e-21	5.28277279138063e-11	4.15288334435508e-29
YAL058W	223	34	95	6.39067763524514e-22	2.63603641982454e-09	7.00105523144411e-28
YAL056W	147	23	79	5.5502315173698e-16	0.000158230902827333	1.07523685091079e-16
YAL055W	132	24	30	5.57307565669412e-11	2.19770979960392e-10	1.44193280289569e-19
YAL054C	9	3	0	0.0328936157942276	0.00167671822747316	0.000368857369897393
YAL053W	1284	186	503	1.59991457380527e-61	7.79464449297629e-30	2.74081272704506e-86
YAL051W	364	69	186	1.41857788921325e-29	1.52914642810164e-09	3.47425070160366e-34
YAL049C	665	93	261	3.51558409532638e-26	5.44974579892513e-12	9.21371558430033e-35
YAL048C	184	26	88	7.23379824555881e-22	3.5555707275043e-08	2.40845641599182e-26
YAL047C	179	31	81	5.99288310972978e-16	1.57523912057859e-07	8.76492836393725e-21
YAL046C	428	50	99	1.31377524780155e-14	6.39251522351278e-12	1.31130927270963e-24
YAL044W-A	378	59	161	1.6851130333472e-12	2.15326128852667e-06	1.5129381026319e-16
YAL044C	4219	588	1907	9.04136643612424e-27	1.6422472031189e-14	2.47029950242727e-38
YAL043C	1334	172	429	2.49535853113386e-71	5.97838872594091e-42	4.16079044601205e-109
YAL042W	2195	265	708	2.51618605963101e-51	5.41908075436616e-27	3.31707825406756e-74
YAL041W	698	119	256	5.06454502662503e-46	9.35083054016909e-25	5.3635628499326e-67
YAL040C	107	17	50	7.75350867723633e-12	0.000109121247093155	7.78585551714532e-14
YAL039C	603	70	190	7.91796422411346e-28	1.93977950260712e-15	2.44443186802961e-40
YAL038W	237444	24554	61085	1.33817855373784e-79	1.78094810680534e-55	9.53503626654873e-132
YAL037C-A	0	0	0	1	1	1
YAL037W	10	2	2	0.0117566613920017	0.00671184892726383	0.000404367092863546
YAL036C	2311	289	857	1.61629169275358e-47	9.39527633072481e-23	7.64398428816305e-66
YAL035W	13170	1782	5352	7.90063146941298e-137	2.74876669255854e-61	3.42517433972061e-188
YAL034W-A	164	18	61	1.70663014780644e-16	2.15795863612408e-07	4.70658944355148e-21
YAL034C	31	5	10	3.30038101363339e-05	0.00104342770739472	2.90084994906112e-07
YAL033W	431	73	161	2.34400365963907e-17	8.2592995693921e-09	1.58422749615359e-23
YAL032C	311	41	99	1.04546846103635e-24	1.27453423120019e-13	1.63051665683188e-35
YAL031C	205	26	83	5.42744601865641e-23	4.08192836496925e-10	8.70926080733837e-30
YAL030W	629	83	210	9.48807765083744e-16	1.11763410848704e-08	5.11050589239838e-22
YAL029C	427	54	187	5.50218883497962e-42	1.6783455723136e-15	4.83031628168536e-52
YAL028W	36	9	14	4.37861273909446e-05	0.000950585171879837	3.35641305451532e-07
YAL027W	99	16	39	6.76790591799337e-11	4.92526245313319e-06	8.86754140743758e-15
YAL026C	541	68	229	8.346917129839e-47	6.93256320078973e-18	4.7525703983754e-59
YAL025C	1263	168	441	5.46563403557861e-36	4.94649472818989e-18	2.19149655442034e-50
YAL024C	208	28	82	2.95031982213347e-26	4.6878545409748e-12	6.60350114969552e-35
YAL023C	4750	521	1513	6.12189358309425e-99	2.26665643441401e-55	7.43344367911127e-149
YAL022C	636	87	201	4.4904084556337e-40	1.65373512929316e-23	2.20477881422558e-60
YAL021C	1876	201	605	1.01051962250472e-89	3.73974750731747e-49	1.50290412714201e-133
YAL020C	167	20	52	1.80696597224207e-15	1.86218653719559e-10	8.14478740829285e-24
YAL019W	1245	149	475	9.19782966958445e-79	4.40739998756256e-36	1.98689531649923e-108
YAL018C	0	0	0	1	1	1
YAL017W	530	85	279	1.82114064278916e-44	1.08962784495793e-13	1.86127842944709e-51
YAL016W	5079	788	2249	1.67093885977836e-79	1.89460686802634e-35	2.98953269836513e-108
YAL015C	216	33	70	5.85658558865976e-18	5.99520833642156e-13	8.37364840614677e-29
YAL014C	267	45	122	1.1481588608019e-21	2.4190843500899e-08	2.05937178203631e-26
YAL013W	883	96	240	9.02461362134148e-40	5.83878291919975e-29	3.21285013045518e-66
YAL012W	16638	1784	5520	1.78874585880367e-62	4.80905813927884e-36	1.65853790541107e-94
YAL011W	123	20	56	4.25063053285839e-15	8.73666253734288e-06	7.70354841876042e-18
YAL010C	166	20	51	1.61363168039025e-18	2.97111664447855e-11	2.08846275458769e-27
YAL009W	103	20	28	3.89407565721894e-09	1.10755579890949e-07	4.77346680747686e-15
YAL008W	518	75	192	8.78851693519433e-20	4.14386718167208e-11	2.48685276930202e-28
YAL007C	1261	183	607	1.95570479532435e-26	4.84384901094439e-09	4.47882839648194e-31
YAL005C	145598	17779	53938	2.54891978869495e-96	1.99100644136955e-49	1.51222197015967e-139
YAL003W	40586	4230	14453	9.08684826517586e-33	7.59780872801126e-17	3.14359397950527e-46
YAL002W	136	24	60	1.46506065047451e-15	5.7609360414209e-07	9.32419658102846e-20
YAL001C	372	61	190	1.63691580614637e-34	1.85046716121221e-11	1.13228627231633e-40
YAR002W	1570	175	584	4.35557298287685e-63	3.30479999375962e-31	2.7700276840945e-89
YAR002C-A	2157	394	1030	2.50799398724036e-29	2.54759123998601e-12	9.60453448021338e-38
YAR003W	180	34	83	1.44950513746016e-17	1.8699660895229e-07	5.40855705124409e-22
YAR007C	2459	390	1075	9.17982705673355e-69	8.23324527700863e-26	4.35777542005051e-87
YAR008W	136	18	72	3.90671287867131e-14	3.03659677018295e-05	2.33147353632385e-16
YAR014C	1005	142	487	2.86341023300566e-55	2.54783230149779e-19	1.13102370122804e-67
YAR015W	2130	247	777	8.84826943767724e-42	1.97982418097669e-21	2.13895290762816e-59
YAR018C	160	23	77	2.40374467392714e-17	6.39131727168219e-07	4.05744556242139e-21
YAR019C	105	12	53	3.98379522797542e-16	1.95484007430854e-05	3.85977623596584e-18
YAR020C	0	0	0	1	1	1
YAR023C	1	1	1	0.681324055883031	0.681324055883031	0.747507462453077
YAR027W	645	110	279	3.24624713366719e-25	1.7069058039573e-11	2.39854014005353e-33
YAR028W	389	56	173	1.62690986628808e-20	7.12339342871116e-10	1.86728428734558e-27
YAR029W	0	0	2	1	0.97032678060404	1
YAR031W	174	27	81	2.08666130660393e-14	3.84174084455144e-07	4.87557039501413e-19
YAR033W	276	31	141	5.81263423579225e-19	2.37272479538564e-05	4.04997375278491e-20
YAR035W	58	8	18	5.91384715750542e-09	6.84070138221303e-06	5.92086785538822e-13
YAR035C-A	0	0	0	1	1	1
YAR042W	601	66	204	2.24328464524602e-55	3.71752764716651e-30	1.91624505786309e-81
YAR050W	5	4	4	0.394862910464025	0.394862910464025	0.353040870607036
