# Created by: riboviz
# Date: 2025-09-09 19:24:03.843028
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Pos	Counts	End
-24	731	5'
-23	808	5'
-22	904	5'
-21	787	5'
-20	636	5'
-19	1532	5'
-18	6437	5'
-17	1004	5'
-16	1075	5'
-15	643	5'
-14	4127	5'
-13	3357	5'
-12	28449	5'
-11	110207	5'
-10	19083	5'
-9	49983	5'
-8	65857	5'
-7	16199	5'
-6	22572	5'
-5	53189	5'
-4	15909	5'
-3	31237	5'
-2	76555	5'
-1	11917	5'
0	14764	5'
1	88835	5'
2	20374	5'
3	5149	5'
4	46733	5'
5	12725	5'
6	31753	5'
7	42916	5'
8	12645	5'
9	16143	5'
10	49133	5'
11	9798	5'
12	18406	5'
13	46078	5'
14	12323	5'
15	31034	5'
16	67102	5'
17	19189	5'
18	27450	5'
19	45699	5'
20	15555	5'
21	18639	5'
22	48235	5'
23	13985	5'
24	23873	5'
25	45160	5'
26	12395	5'
27	30885	5'
28	49126	5'
29	15724	5'
30	23703	5'
31	51387	5'
32	14289	5'
33	21132	5'
34	66255	5'
35	15671	5'
36	23389	5'
37	64209	5'
38	17367	5'
39	27831	5'
40	77465	5'
41	18359	5'
42	27316	5'
43	64607	5'
44	18557	5'
45	35462	5'
46	68070	5'
47	18943	5'
48	35143	5'
49	75188	5'
50	23753	5'
-49	34783	3'
-48	120501	3'
-47	318902	3'
-46	57942	3'
-45	58089	3'
-44	116803	3'
-43	28219	3'
-42	35070	3'
-41	70829	3'
-40	20555	3'
-39	38283	3'
-38	86418	3'
-37	24398	3'
-36	28825	3'
-35	73674	3'
-34	19073	3'
-33	39008	3'
-32	61349	3'
-31	18099	3'
-30	25058	3'
-29	74181	3'
-28	16028	3'
-27	25199	3'
-26	64792	3'
-25	14856	3'
-24	25403	3'
-23	59175	3'
-22	13696	3'
-21	26281	3'
-20	57600	3'
-19	35967	3'
-18	184555	3'
-17	342496	3'
-16	62146	3'
-15	17716	3'
-14	17884	3'
-13	11925	3'
-12	11947	3'
-11	11130	3'
-10	10439	3'
-9	8764	3'
-8	8591	3'
-7	6352	3'
-6	5081	3'
-5	6002	3'
-4	4563	3'
-3	4369	3'
-2	4842	3'
-1	3242	3'
0	2164	3'
1	2690	3'
2	1954	3'
3	1936	3'
4	2474	3'
5	1966	3'
6	1762	3'
7	1794	3'
8	3320	3'
9	1367	3'
10	1441	3'
11	1112	3'
12	1438	3'
13	1321	3'
14	1127	3'
15	1056	3'
16	1384	3'
17	1071	3'
18	2114	3'
19	1767	3'
20	1580	3'
21	1188	3'
22	1204	3'
23	931	3'
24	1051	3'
25	1191	3'
